Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
1024,8,128,0,237.15547943115234,242.41915130615234,238.81866455078125
1024,8,128,1,236.79366302490234,242.9518814086914,241.09398651123047
1024,8,256,0,229.06593704223633,258.86356353759766,242.96567153930664
1024,8,256,1,239.38721466064453,244.88420486450195,240.52274322509766
1024,8,512,0,233.9706268310547,240.48537063598633,245.8786220550537
1024,8,512,1,237.79928588867188,241.6588249206543,243.96477890014648
2048,1,64,0,130.49662017822266,129.1728744506836,122.84296417236328
2048,1,64,1,116.28495788574219,118.76868438720703,119.60477447509766
2048,1,128,0,116.78364562988281,119.35750198364258,119.7337760925293
2048,1,128,1,116.62548828125,117.88682556152344,124.32281875610352
